                
  Z                     H [1/MPC]               COMOV. DIST.        ANG.DIAM.DIST.          LUM. DIST.              GR.FAC. D               GR.FAC. F             
  51546632377611.2      5.732512433827952e+21   13895.564132075226  2.695726857630832e-10   7.162695359956156e+17   7.186315401150636e-06   1.5090164374419246    
  51188314178362.62     5.653092142321832e+21   13895.564132075162  2.714596945634238e-10   7.112905024782639e+17   7.261960826426191e-06   1.4932975162188686    
  50832486770965.81     5.574772168133081e+21   13895.564132075098  2.733599124253667e-10   7.063460799188284e+17   7.337606251701762e-06   1.477902696464336     
  50479132841078.22     5.497537267069362e+21   13895.564132075035  2.752734318123432e-10   7.014360277247514e+17   7.4132516769773535e-06  1.462822056704802     
  50128235194715.17     5.421372406136877e+21   13895.564132074971  2.772003458350285e-10   6.965601069759163e+17   7.488897102252963e-06   1.4480460763343566    
  49779776757413.234    5.346262760614327e+21   13895.564132074906  2.7914074825587263e-10  6.917180804130213e+17   7.564542527528594e-06   1.4335656155713281    
  49433740573399.39     5.272193711167448e+21   13895.56413207484   2.8109473349366265e-10  6.869097124260352e+17   7.640187952804245e-06   1.4193718966055937    
  49090109804765.98     5.199150841003491e+21   13895.564132074775  2.830623966281172e-10   6.821347690427322e+17   7.715833378079917e-06   1.405456485854882     
  48748867730651.36     5.127119933065152e+21   13895.564132074709  2.8504383340451294e-10  6.773930179173071e+17   7.791478803355612e-06   1.3918112772546765    
  48409997746426.33     5.056086967263354e+21   13895.564132074642  2.870391402383434e-10   6.726842283190698e+17   7.867124228631327e-06   1.378428476512175     
  48073483362886.086    4.986038117748382e+21   13895.564132074574  2.890484142200106e-10   6.680081711212175e+17   7.942769653907063e-06   1.3653005862600147    
  47739308205447.9      4.916959750218824e+21   13895.564132074507  2.9107175311954955e-10  6.633646187896859e+17   8.018415079182826e-06   1.3524203920503555    
  47407456013354.37     4.848838419267788e+21   13895.56413207444   2.9310925539138524e-10  6.587533453720776e+17   8.09406050445861e-06    1.3397809491343424    
  47077910638882.14     4.781660865765892e+21   13895.56413207437   2.951610201791237e-10   6.54174126486667e+17    8.16970592973442e-06    1.3273755699760408    
  46750656046556.2      4.7154140142805063e+21  13895.564132074302  2.9722714732037636e-10  6.496267393114829e+17   8.245351355010255e-06   1.315197812453679     
  46425676312369.57     4.6500849705307524e+21  13895.564132074232  2.9930773735161773e-10  6.451109625734648e+17   8.320996780286114e-06   1.303241468704459     
  46102955623008.46     4.5856610188777614e+21  13895.564132074163  3.0140289151307786e-10  6.406265765376972e+17   8.396642205562e-06      1.2915005545723492    
  45782478275082.83     4.5221296198497075e+21  13895.564132074092  3.035127117536682e-10   6.361733629967162e+17   8.472287630837913e-06   1.2799692996211782    
  45464228674362.25     4.4594784077011217e+21  13895.564132074021  3.056373007359425e-10   6.317511052598932e+17   8.547933056113851e-06   1.2686421376780002    
  45148191335017.086    4.3976951880060235e+21  13895.56413207395   3.077767618410928e-10   6.273595881428892e+17   8.623578481389818e-06   1.2575136978741839    
  44834350878864.984    4.336767935284402e+21   13895.56413207388   3.0993119917397915e-10  6.229985979571852e+17   8.699223906665814e-06   1.2465787961539199    
  44522692034622.58     4.27668479066158e+21    13895.564132073807  3.1210071756819564e-10  6.186679224996836e+17   8.774869331941837e-06   1.2358324272219443    
  44213199637162.39     4.217434059559994e+21   13895.564132073734  3.142854225911717e-10   6.143673510423831e+17   8.850514757217894e-06   1.2252697569041984    
  43905858626774.914    4.1590042094229746e+21  13895.56413207366   3.164854205493085e-10   6.100966743221243e+17   8.92616018249398e-06    1.214886114896931     
  43600654048435.81     4.101383867470045e+21   13895.564132073587  3.187008184931523e-10   6.058556845304076e+17   9.001805607770095e-06   1.2046769878813903    
  43297571051078.22     4.0445618184833225e+21  13895.564132073512  3.209317242226029e-10   6.016441753032808e+17   9.077451033046243e-06   1.194638012982783     
  42996594886870.08     3.98852700262459e+21    13895.564132073438  3.231782462921597e-10   5.974619417112979e+17   9.153096458322426e-06   1.184764971553582     
  42697710910496.55     3.933268513282614e+21   13895.564132073361  3.2544049401620344e-10  5.933087802495471e+17   9.22874188359864e-06    1.175053783262573     
  42400904578447.37     3.878775594950282e+21   13895.564132073285  3.2771857747431537e-10  5.89184488827749e+17    9.304387308874887e-06   1.165500500472239     
  42106161448309.16     3.8250376411311484e+21  13895.564132073208  3.300126075166341e-10   5.850888667604223e+17   9.38003273415117e-06    1.1561013028882083    
  41813467178062.67     3.772044192274986e+21   13895.564132073132  3.3232269576924897e-10  5.810217147571187e+17   9.455678159427486e-06   1.1468524924655308    
  41522807525384.92     3.7197849337419467e+21  13895.564132073054  3.3464895463963223e-10  5.769828349127256e+17   9.531323584703841e-06   1.1377504885575067    
  41234168346956.19     3.6682496937949166e+21  13895.564132072976  3.3699149732210803e-10  5.729720306978371e+17   9.60696900998023e-06    1.1287918232937117    
  40947535597771.734    3.6174284416196873e+21  13895.564132072897  3.3935043780336126e-10  5.689891069491889e+17   9.682614435256656e-06   1.1199731371746722    
  40662895330458.48     3.567311285372567e+21   13895.564132072817  3.4172589086798317e-10  5.65033869860164e+17    9.75825986053312e-06    1.1112911748714398    
